2020-08-21 14:16:39,256 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=28, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=28, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
2020-08-21 14:16:39,258 DEBUG com.laminatimes.controller.LeavesController [http-nio-8086-exec-7] Leave: LeaveVo{id=29, leaveName='test leave4', startDate=null, endDate=null, noOfDays=3, comments='test comments', approverComments='approverComments asdfas', createdBy='sravan', createDate=null, modifiedBy='Ravi', modifiedDate=null, employeeId=0}
